AID,Mgtry,TagColor,TagNum,CllrSrN,Frequency,StartDateTime,StartDate,StartTime,StopDateTime,StopDate,StopTime,ExpectedBatteryLife_WorstCase,ExpectedBatteryLife_AverageCase
304,Long,Yellow,70,36629,151.101,03/13/2017 15:00,03/13/2017,15:00:00,12/06/2018 11:00,12/06/2018,11:00:00,N/A,N/A
286,Long,Red,33,36639,151.151,03/12/2017 13:00,03/12/2017,13:00:00,12/06/2018 11:00,12/06/2018,11:00:00,N/A,N/A
356,Medium,Green,31,36641,151.172,11/05/2017 13:00,11/05/2017,13:00:00,12/06/2018 11:00,12/06/2018,11:00:00,N/A,N/A
290,Long,White,46,36644,151.201,03/13/2017 11:00,03/13/2017,11:00:00,12/06/2018 13:00,12/06/2018,13:00:00,N/A,N/A
278,Long,Pink,26,36645,151.212,03/14/2017 19:00,03/14/2017,19:00:00,12/06/2018 15:00,12/06/2018,15:00:00,N/A,N/A
233,Long,White,37,36677,151.822,03/12/2017 09:00,03/12/2017,09:00:00,12/06/2018 09:00,12/06/2018,09:00:00,N/A,N/A
292,Long,Red,45,36683,151.914,03/13/2017 11:00,03/13/2017,11:00:00,12/06/2018 09:00,12/06/2018,09:00:00,N/A,N/A
287,Long,White,31,36717,149.032,03/13/2017 09:00,03/13/2017,09:00:00,12/06/2018 09:00,12/06/2018,09:00:00,N/A,N/A
279,Long,Purple,12,36730,149.393,03/14/2017 19:00,03/14/2017,19:00:00,12/06/2018 15:00,12/06/2018,15:00:00,N/A,N/A
359,Long,Pink,41,37052,151.1,11/05/2017 13:00,11/05/2017,13:00:00,12/06/2018 13:00,12/06/2018,13:00:00,N/A,N/A
343,Medium,Green,29,100120,160.48,11/05/2017 11:00,11/05/2017,11:00:00,12/06/2018 11:00,12/06/2018,11:00:00,N/A,N/A
300,Long,Red,30,100196,161.28,03/13/2017 13:00,03/13/2017,13:00:00,12/06/2018 09:00,12/06/2018,09:00:00,N/A,N/A
294,Medium,Yellow,66,36622,151.032,03/13/2017 11:00,03/13/2017,11:00:00,12/07/2018 07:00,12/07/2018,07:00:00,N/A,N/A
328,Medium,Light Blue,5,36625,151.061,03/14/2017 15:00,03/14/2017,15:00:00,12/07/2018 09:00,12/07/2018,09:00:00,N/A,N/A
311,Medium,Light Blue,2,36676,151.814,03/14/2017 09:00,03/14/2017,09:00:00,12/07/2018 07:00,12/07/2018,07:00:00,N/A,N/A
296,Medium,Yellow,59,36681,151.892,03/13/2017 11:00,03/13/2017,11:00:00,12/07/2018 07:00,12/07/2018,07:00:00,N/A,N/A
312,Medium,Light Blue,8,36726,149.342,03/14/2017 09:00,03/14/2017,09:00:00,12/07/2018 11:00,12/07/2018,11:00:00,N/A,N/A
426,Medium,White,1,701497A,159.46,09/26/2018 19:00,09/26/2018,19:00:00,12/07/2018 15:00,12/07/2018,15:00:00,N/A,N/A
277,Short,White,38,36623,151.041,03/14/2017 17:00,03/14/2017,17:00:00,12/08/2018 07:00,12/08/2018,07:00:00,N/A,N/A
351,Medium,Green,37,40642,162.168,12/09/2017 14:00,12/09/2017,14:00:00,12/29/2018 04:00,12/29/2018,04:00:00,N/A,N/A
257,Long,Orange,21,100179,161.12,03/14/2017 09:00,03/14/2017,09:00:00,01/14/2019 07:00,01/14/2019,07:00:00,N/A,N/A
112,Long,Yellow,2,701447A,161.49,03/11/2018 15:00,03/11/2018,15:00:00,01/14/2019 07:00,01/14/2019,07:00:00,N/A,N/A
421,Short,Purple,22,701440A,161.39,09/26/2018 13:00,09/26/2018,13:00:00,01/17/2019 05:00,01/17/2019,05:00:00,N/A,N/A
233,Long,White,37,706085A,162.15,12/06/2018 13:00,12/06/2018,13:00:00,01/18/2019 13:00,01/18/2019,13:00:00,N/A,N/A
278,Long,Pink,26,706108A,162.67,12/06/2018 19:00,12/06/2018,19:00:00,01/26/2019 01:00,01/26/2019,01:00:00,N/A,N/A
299,Long,Red,50,40735,162.332,12/09/2017 12:00,12/09/2017,12:00:00,01/30/2019 14:00,01/30/2019,14:00:00,N/A,N/A
321,Long,Light Blue,21,100254,161.04,03/14/2017 13:00,03/14/2017,13:00:00,02/10/2019 01:00,02/10/2019,01:00:00,N/A,N/A
333,Long,Light Blue,11,100277,160.8,03/14/2017 17:00,03/14/2017,17:00:00,02/10/2019 09:00,02/10/2019,09:00:00,N/A,N/A
409,Short,Purple,10,100069,159.97,09/26/2018 21:00,09/26/2018,21:00:00,02/23/2019 21:00,02/23/2019,21:00:00,N/A,N/A
230,Medium,Orange,62,706087A,162.27,12/06/2018 13:00,12/06/2018,13:00:00,02/28/2019 07:00,02/28/2019,07:00:00,N/A,N/A
332,Long,Yellow,56,701432A,161.25,03/12/2018 12:00,03/12/2018,12:00:00,03/01/2019 07:00,03/01/2019,07:00:00,N/A,N/A
241,Medium,Orange,58,100281,160.88,03/14/2017 11:00,03/14/2017,11:00:00,03/07/2019 07:00,03/07/2019,07:00:00,N/A,N/A
123,Medium,Orange,73,701435A,161.29,03/12/2018 11:00,03/12/2018,11:00:00,03/07/2019 03:00,03/07/2019,03:00:00,N/A,N/A
255,Long,Yellow,24,40643,162.178,03/12/2018 14:00,03/12/2018,14:00:00,03/17/2019 12:00,03/17/2019,12:00:00,N/A,N/A
365,Medium,Pink,35,701445A,161.45,03/12/2018 07:00,03/12/2018,07:00:00,03/17/2019 08:00,03/17/2019,08:00:00,N/A,N/A
279,Long,Purple,12,706096A,162.45,12/07/2018 07:00,12/07/2018,07:00:00,03/17/2019 11:00,03/17/2019,11:00:00,N/A,N/A
296,Medium,Yellow,59,706101A,162.53,12/07/2018 09:00,12/07/2018,09:00:00,03/17/2019 09:00,03/17/2019,09:00:00,N/A,N/A
433,Short,White,9,100022,150.45,09/26/2018 17:00,09/26/2018,17:00:00,03/20/2019 17:00,03/20/2019,17:00:00,N/A,N/A
412,Short,Purple,13,701442A,161.41,09/26/2018 09:00,09/26/2018,09:00:00,03/20/2019 13:00,03/20/2019,13:00:00,N/A,N/A
119,Long,Pink,4,40645,162.229,12/08/2017 10:00,12/08/2017,10:00:00,03/26/2019 12:00,03/26/2019,12:00:00,N/A,N/A
356,Medium,Green,31,706107A,162.65,12/06/2018 13:00,12/06/2018,13:00:00,03/26/2019 09:00,03/26/2019,09:00:00,N/A,N/A
295,Medium,White,26,706088A,162.29,03/17/2019 18:00,03/17/2019,18:00:00,03/31/2019 05:00,03/31/2019,05:00:00,N/A,N/A
251,Long,Yellow,53,706105A,162.61,12/06/2018 08:00,12/06/2018,08:00:00,04/07/2019 03:00,04/07/2019,03:00:00,N/A,N/A
425,Short,Green,41,100173,161.06,09/26/2018 07:00,09/26/2018,07:00:00,04/13/2019 19:00,04/13/2019,19:00:00,N/A,N/A
317,Long,Light Blue,24,100175,161.08,03/14/2017 11:00,03/14/2017,11:00:00,04/14/2019 01:00,04/14/2019,01:00:00,N/A,N/A
235,Long,Yellow,51,701431A,161.23,03/11/2018 17:00,03/11/2018,17:00:00,04/24/2019 09:00,04/24/2019,09:00:00,N/A,N/A
323,Long,Light Blue,12,100274,161.54,03/14/2017 15:00,03/14/2017,15:00:00,04/27/2019 13:00,04/27/2019,13:00:00,N/A,N/A
328,Medium,Light Blue,5,706091A,162.37,12/07/2018 11:00,12/07/2018,11:00:00,04/28/2019 03:00,04/28/2019,03:00:00,N/A,N/A
434,Short,White,10,100163,160.91,09/26/2018 07:00,09/26/2018,07:00:00,05/12/2019 13:00,05/12/2019,13:00:00,N/A,N/A
361,Medium,Pink,49,40640,162.119,12/09/2017 14:00,12/09/2017,14:00:00,05/15/2019 04:00,05/15/2019,04:00:00,N/A,N/A
422,Short,Purple,23,701436A,161.31,09/26/2018 11:00,09/26/2018,11:00:00,05/22/2019 05:00,05/22/2019,05:00:00,N/A,N/A
437,Short,White,13,100280,160.86,09/26/2018 11:00,09/26/2018,11:00:00,05/23/2019 15:00,05/23/2019,15:00:00,N/A,N/A
286,Long,Red,33,706094A,162.43,12/06/2018 12:00,12/06/2018,12:00:00,05/23/2019 05:00,05/23/2019,05:00:00,N/A,N/A
435,Short,White,11,100121,160.49,09/26/2018 13:00,09/26/2018,13:00:00,05/26/2019 05:00,05/26/2019,05:00:00,N/A,N/A
427,Short,White,2,701483A,159.33,09/26/2018 15:00,09/26/2018,15:00:00,05/26/2019 11:00,05/26/2019,11:00:00,N/A,N/A
329,Short,Light Blue,17,36633,151.141,03/14/2017 17:00,03/14/2017,17:00:00,06/05/2019 05:00,06/05/2019,05:00:00,N/A,N/A
302,Long,Yellow,13,100272,161.5,03/13/2017 15:00,03/13/2017,15:00:00,06/08/2019 11:00,06/08/2019,11:00:00,N/A,N/A
