Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2017,274,Medium,5/15/2017 1:00,5/15/2017,1:00:00,5/26/2017 5:00,5/26/2017,5:00:00,9/28/2017 1:00,9/28/2017,1:00:00,10/4/2017 7:00,10/4/2017,7:00:00,
2017,276,Medium,5/8/2017 3:00,5/8/2017,3:00:00,5/11/2017 5:00,5/11/2017,5:00:00,9/19/2017 15:00,9/19/2017,15:00:00,9/24/2017 21:00,9/24/2017,21:00:00,
2017,277,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident; no migration data
2017,278,Long,4/7/2017 5:00,4/7/2017,5:00:00,5/23/2017 11:00,5/23/2017,11:00:00,10/9/2017 15:00,10/9/2017,15:00:00,11/25/2017 5:00,11/25/2017,5:00:00,
2017,279,Long,4/23/2017 11:00,4/23/2017,11:00:00,5/25/2017 1:00,5/25/2017,1:00:00,10/22/2017 11:00,10/22/2017,11:00:00,12/30/2017 19:00,12/30/2017,19:00:00,
2017,280,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident; no migration data
2017,281,Medium,5/2/2017 7:00,5/2/2017,7:00:00,5/5/2017 19:00,5/5/2017,19:00:00,10/11/2017 7:00,10/11/2017,7:00:00,10/13/2017 23:00,10/13/2017,23:00:00,
2017,282,Long,4/19/2017 17:00,4/19/2017,17:00:00,6/20/2017 21:00,6/20/2017,21:00:00,10/9/2017 23:00,10/9/2017,23:00:00,12/25/2017 9:00,12/25/2017,9:00:00,
2017,283,Medium,5/11/2017 3:00,5/11/2017,3:00:00,5/14/2017 21:00,5/14/2017,21:00:00,10/5/2017 7:00,10/5/2017,7:00:00,10/9/2017 21:00,10/9/2017,21:00:00,
2017,284,Medium,5/5/2017 19:00,5/5/2017,19:00:00,6/20/2017 21:00,6/20/2017,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,"Spent the winter near Boulder, WY; never returned to the Red Desert"
2017,285,Long,5/7/2017 21:00,5/7/2017,21:00:00,5/24/2017 13:00,5/24/2017,13:00:00,10/3/2017 13:00,10/3/2017,13:00:00,1/24/2018 23:00,1/24/2018,23:00:00,
